id,training_name,description,completion_date,expiry_date,person_id,is_required
1,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-01-15,2025-01-15,100,true
2,Information Security Awareness,Cybersecurity best practices and data protection,2024-02-20,2025-02-20,100,true
3,Diversity and Inclusion,Creating inclusive workplace environments,,2026-03-10,100,false
4,Leadership Development,Core leadership skills and team management,2024-01-20,2026-01-20,1,true
5,Performance Management,Effective performance review techniques,2024-02-15,2025-12-15,1,true
6,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-01-18,2025-01-18,101,true
7,Code Review Best Practices,Software engineering standards,,2025-12-20,101,true
8,Agile Methodology,Scrum and agile development practices,2024-02-28,2024-11-28,102,false
9,React Advanced Patterns,Modern React development techniques,,2025-12-15,102,false
10,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,,2025-12-25,103,true
11,AWS Cloud Architecture,Cloud infrastructure best practices,,2025-12-18,103,true
12,Docker and Kubernetes,Container orchestration fundamentals,,2026-03-20,103,false
13,Information Security Awareness,Cybersecurity best practices and data protection,2024-02-25,2025-12-18,104,true
14,API Design Principles,RESTful API development standards,,2026-03-12,104,false
15,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-01-25,2024-12-25,105,true
16,Product Strategy Workshop,Strategic product planning methods,,2025-12-12,105,true
17,User Research Methods,Customer discovery techniques,,2025-12-30,105,false
18,UX Design Fundamentals,User experience design principles,2024-02-12,2025-02-12,106,true
19,Figma Advanced Techniques,Professional design tool mastery,,2026-03-08,106,false
20,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-01-28,2025-01-28,107,true
21,SQL and Data Analysis,Database querying and analysis,,2025-12-14,107,true
22,Business Intelligence Tools,BI software and reporting,,2026-03-18,107,false
23,HR Compliance Training,Employment law and regulations,2024-01-30,2024-12-30,108,true
24,Recruitment Best Practices,Effective hiring strategies,2024-02-22,2025-02-22,108,true
25,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,,2025-12-22,109,true
26,Interview Techniques,Structured interviewing methods,,2026-03-01,109,false
27,Financial Analysis Fundamentals,Core financial modeling skills,2024-01-12,2024-12-12,110,true
28,Excel Advanced Functions,Advanced spreadsheet techniques,,2025-12-16,110,true
29,Risk Management Certification,Enterprise risk assessment,2024-03-14,2026-03-14,110,true
30,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-01-15,2025-01-15,111,true
31,Financial Statement Analysis,Reading and interpreting financial reports,,2025-12-19,111,true
32,Information Security Awareness,Cybersecurity best practices and data protection,2024-03-10,2025-12-10,112,true
33,GAAP Accounting Standards,Generally accepted accounting principles,,2026-02-25,112,true
34,Workplace Safety Fundamentals,Basic safety protocols and emergency procedures,2024-01-20,2025-01-20,113,true
35,Investment Portfolio Management,Asset allocation strategies,,2026-02-15,113,true
